anno;mes;dia;hora;ndig;reflectancia;rmin;rmax;nc;N;Hext;brilloSolarC;dj
2012.0;1.0;6.0;16.0;67.0;0.0648503034086058;-0.0444021323580081;0.4830732212313118;0.20712329973937574;11.812689348250286;9582.045155610613;0.7928767002606243;6.0
2012.0;1.0;7.0;7.0;50.0;0.0323041754459318;0.0090905727953887;0.2849427415610046;0.08415232968593071;11.813768194590413;9592.01615127238;0.9158476703140693;7.0
2012.0;1.0;7.0;10.0;214.0;0.3839562128726618;0.0959437969535486;0.9019934997025825;0.35731346955013615;11.813768194590413;9592.01615127238;0.6426865304498639;7.0
2012.0;1.0;7.0;13.0;163.0;0.3186760372662528;-0.0739454419266923;1.1161965489755137;0.32989465307018717;11.813768194590413;9592.01615127238;0.6701053469298128;7.0
2012.0;1.0;7.0;16.0;94.0;0.1110331964274421;-0.0444021323580081;0.4830732212313118;0.29467789865015864;11.813768194590413;9592.01615127238;0.7053221013498414;7.0
2012.0;1.0;8.0;7.0;78.0;0.0753521995018181;0.0090905727953887;0.2849427415610046;0.24020701741420822;11.81491312045056;9602.4909836836;0.7597929825857918;8.0
2012.0;1.0;8.0;10.0;267.0;0.4938640315759546;0.0959437969535486;0.9019934997025825;0.4936671191184593;11.81491312045056;9602.4909836836;0.5063328808815407;8.0
2012.0;1.0;8.0;13.0;239.0;0.5001438840798698;-0.0739454419266923;1.1161965489755137;0.48237044856417893;11.81491312045056;9602.4909836836;0.5176295514358211;8.0
2012.0;1.0;8.0;16.0;81.0;0.0889097435189316;-0.0444021323580081;0.4830732212313118;0.25273574389739784;11.81491312045056;9602.4909836836;0.7472642561026022;8.0
2012.0;1.0;9.0;7.0;45.0;0.0245965833219522;0.0090905727953887;0.2849427415610046;0.0562113054827513;11.81612325159622;9613.45631624313;0.9437886945172487;9.0
2012.0;1.0;9.0;10.0;80.0;0.1058117623811894;0.0959437969535486;0.9019934997025825;0.012242378347124366;11.81612325159622;9613.45631624313;0.9877576216528756;9.0
2012.0;1.0;9.0;13.0;256.0;0.5414363467497255;-0.0739454419266923;1.1161965489755137;0.5170658571671082;11.81612325159622;9613.45631624313;0.4829341428328918;9.0
2012.0;1.0;9.0;16.0;113.0;0.1437563190292049;-0.0444021323580081;0.4830732212313118;0.35671515286325367;11.81612325159622;9613.45631624313;0.6432848471367463;9.0
2012.0;1.0;10.0;7.0;80.0;0.0783744325630892;0.0090905727953887;0.2849427415610046;0.2511630054522758;11.81739767235281;9624.898127822502;0.7488369945477242;10.0
